objectid,filename,title,creator,description,date,date_is_approximate,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pleiades0046,mg025_bx2_folder33-009.jpg,Pleiades Members,,"Back row: Alice von Ende, Mrs. Jones, Mrs. Kostalek, Polly Eldridge. Front row: Gertrude B. Axtell, Florence O.R. Chrisman, Bertie E. Gritman, Mary Belle Sweet. Taken in Rutherford's yard, on Moore Avenue. ",1930,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-009,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0047,mg025_bx2_folder33-010.jpg,Pleiades Members,,"Standing: Mary Belle Sweet, Kathryn Cushman, Carolyn Folz, Gertrude B. Axtell, Margeretie Laughlin. Seated: Julia Rutherford, Mrs. Simpson, Josephine Kerr, Mrs. Buchanan, Florence O.R. Chrisman, Mrs. Gale, L.S. Carter. Taken in Folz' house on C St.",1954-03,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-010,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0048,mg025_bx2_folder33-011.jpg,Pleiades Members,,"Josephine Kerr, Cora Theophilus, and Bonnie Gale.",1/8/1976,no,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-011,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0049,mg025_bx2_folder33-012.pdf,Member Signatures,,Prints of member signatures.,,,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-012,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0051,mg025_bx2_folder34-001.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder34-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0052,mg025_bx2_folder35-001.pdf,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder35-001,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0053,mg025_bx2_folder35-002.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder35-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0054,mg025_bx2_folder35-003.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder35-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0055,mg025_bx2_folder36-001.pdf,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder36-001,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0056,mg025_bx2_folder36-002.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder36-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0057,mg025_bx2_folder38-001.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder38-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0058,mg025_bx2_folder38-002.jpg,Report of the Endowment Fund Chairman Mrs. H. L. Axtell,The Idaho Club Woman,"Artcile featuring information about the Idaho State Endowment Fund, and Mrs. Gertrude B. Axtell (Mrs. H. L. Axtell), the fund chairman. ",undated,,womensclubs;women,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder38-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0059,mg025_bx2_folder39-001.jpg,List of Clubs,Gertrude B. Axtell,A handwritten list of clubs that helped entertain various district and state federations conventions.,undated,,womensclubs;women,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder39-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0060,mg025_bx2_folder39-002.jpg,Idaho State Clubs,,A written description of the different federated clubs within the state of Idaho. It also includes the beginning of the Idaho State Federation of Women's Clubs.,undated,,womensclubs;women,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder39-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0061,mg025_bx2_folder39-003.jpg,The History of the Woman's Club Movement in America,Jennie June Croly,Copied information from the The History of The Woman's Club Movement in America by Jennie June Croly. Includes handwritten notations and corrections.,,,womensclubs;women,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder39-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0062,mg025_bx2_folder39-004.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder39-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
